Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-07-25,201.7,204.1,198.25,201.0,199.65,352644.0,708.23
2017-07-24,204.0,204.55,200.0,200.5,200.5,183612.0,371.44
2017-07-21,201.95,206.9,201.4,203.25,203.4,384908.0,786.28
2017-07-20,204.0,206.0,200.55,201.2,201.3,320040.0,648.24
2017-07-19,202.0,206.5,201.65,202.9,202.95,375014.0,764.04
2017-07-18,205.65,206.0,200.15,200.2,200.6,358489.0,727.03
2017-07-17,208.0,211.9,205.25,205.7,206.25,280591.0,583.89
2017-07-14,209.1,213.75,205.75,207.0,207.45,501704.0,1048.32
2017-07-13,209.7,211.0,207.15,208.6,208.4,280024.0,585.1
2017-07-12,211.9,212.8,206.85,208.55,208.05,280074.0,585.78
2017-07-11,213.0,218.7,210.1,210.4,210.75,407950.0,870.36
2017-07-10,213.0,213.4,208.5,209.4,209.05,80621.0,169.11
2017-07-07,211.4,217.25,209.7,211.65,211.7,459550.0,981.61
2017-07-06,216.0,216.0,210.0,211.5,211.1,491528.0,1044.1
2017-07-05,198.2,221.6,196.7,215.5,216.25,1742150.0,3737.91
2017-07-04,195.3,202.4,195.2,198.0,198.1,361102.0,717.2
2017-07-03,195.4,198.9,194.65,196.05,196.15,239802.0,471.67
2017-06-30,192.0,196.5,190.2,196.0,194.7,310335.0,598.62
2017-06-29,192.15,197.3,192.15,195.0,194.0,251166.0,488.29
2017-06-28,192.0,195.4,188.9,191.0,191.9,391382.0,756.11
2017-06-27,200.4,201.6,191.6,193.0,192.35,421526.0,819.48
2017-06-23,210.0,211.2,198.1,199.55,200.15,532069.0,1082.56
2017-06-22,212.1,215.85,208.25,208.9,209.05,404341.0,859.26
2017-06-21,214.2,217.55,209.0,212.35,211.3,385489.0,824.98
2017-06-20,214.8,220.7,212.1,215.65,215.45,476236.0,1033.1
2017-06-19,227.7,227.7,214.0,215.1,215.05,953353.0,2086.76
2017-06-16,209.95,234.0,209.1,230.5,231.5,3276372.0,7416.15
2017-06-15,214.85,216.4,206.6,209.0,209.05,349301.0,739.06
2017-06-14,212.25,217.5,210.1,213.95,214.6,290690.0,624.27
2017-06-13,211.7,216.7,208.1,212.25,212.4,652716.0,1393.23
2017-06-12,200.0,211.9,196.05,209.35,210.0,807218.0,1662.02
2017-06-09,204.0,204.4,199.15,201.5,201.8,246579.0,497.58
2017-06-08,197.65,208.0,197.5,204.2,204.95,934499.0,1901.39
2017-06-07,194.6,197.4,193.3,194.5,194.3,204227.0,398.28
2017-06-06,195.3,197.9,191.5,192.05,192.7,213620.0,414.56
2017-06-05,195.05,201.7,193.6,198.0,197.35,329157.0,651.24
2017-06-02,193.8,198.3,193.5,195.3,195.05,259457.0,507.56
2017-06-01,191.8,196.55,191.3,192.75,192.55,205552.0,397.88
2017-05-31,183.7,198.0,183.15,194.0,193.0,486710.0,940.94
2017-05-30,187.5,187.5,182.15,183.5,183.65,134233.0,247.41
2017-05-29,194.05,195.0,186.55,187.75,187.7,221879.0,422.08
2017-05-26,195.95,200.8,192.85,193.7,194.2,296889.0,583.04
2017-05-25,201.4,202.8,191.65,196.3,196.05,559947.0,1101.84
2017-05-24,185.0,201.6,185.0,199.0,198.15,1012952.0,1996.12
2017-05-23,195.0,195.0,178.25,185.5,185.55,396566.0,738.24
2017-05-22,205.45,206.0,193.45,193.7,194.25,256198.0,507.93
2017-05-19,207.45,211.9,202.0,203.4,203.7,265639.0,548.01
2017-05-18,209.1,217.35,204.3,204.5,206.5,790994.0,1680.18
2017-05-17,208.7,217.5,208.7,212.0,212.05,518519.0,1107.3
2017-05-16,208.0,211.7,208.0,209.0,208.75,178348.0,373.57
2017-05-15,212.65,214.85,206.8,207.5,207.75,302006.0,635.18
2017-05-12,214.95,215.6,210.45,211.5,211.3,214662.0,455.76
2017-05-11,217.35,221.45,214.25,214.5,214.65,408385.0,890.38
2017-05-10,213.95,218.7,213.45,216.0,216.8,284446.0,614.26
2017-05-09,214.1,216.6,212.85,213.7,213.65,207131.0,444.11
2017-05-08,216.0,216.45,212.4,212.85,213.1,169328.0,362.01
2017-05-05,220.25,221.7,210.45,212.2,212.6,386545.0,832.94
2017-05-04,219.95,224.6,219.45,220.25,220.2,275727.0,610.36
2017-05-03,220.1,222.85,219.0,219.8,219.3,217656.0,479.88
2017-05-02,222.4,223.75,216.95,219.45,219.85,287509.0,632.52
2017-04-28,228.2,228.4,221.0,222.0,221.5,276451.0,617.13
2017-04-27,219.5,231.7,217.4,227.95,226.95,947679.0,2143.55
2017-04-26,223.1,225.0,216.45,218.0,218.65,343520.0,757.54
2017-04-25,223.0,225.3,220.4,221.65,221.7,268128.0,597.11
2017-04-24,224.5,225.45,221.1,221.7,221.5,196412.0,437.31
2017-04-21,222.8,226.4,220.45,222.7,223.2,447187.0,998.54
2017-04-20,221.7,225.2,220.25,221.4,221.6,409549.0,912.5
2017-04-19,220.4,223.35,217.5,220.0,220.6,388240.0,856.25
2017-04-18,226.8,232.5,217.0,219.5,219.25,638931.0,1441.48
2017-04-17,219.0,226.7,216.1,226.55,223.8,502429.0,1113.98
2017-04-13,218.0,227.5,217.0,219.5,218.8,421305.0,934.94
2017-04-12,224.4,227.65,215.85,219.0,218.05,490191.0,1081.01
2017-04-11,226.65,231.0,223.45,223.9,224.25,416119.0,945.37
2017-04-10,228.6,231.5,225.65,226.6,226.6,317509.0,724.8
2017-04-07,233.0,238.45,226.25,228.3,227.45,503242.0,1167.81
2017-04-06,238.1,240.45,235.05,236.65,236.5,370563.0,880.08
2017-04-05,244.0,247.0,238.1,240.65,240.6,819472.0,1988.19
2017-04-03,232.1,247.9,230.85,243.0,244.7,1984454.0,4765.19
2017-03-31,234.0,235.7,229.5,231.95,230.9,366296.0,852.26
2017-03-30,230.8,238.9,230.05,233.2,232.8,557571.0,1308.99
2017-03-29,227.65,233.55,227.3,229.7,230.8,474946.0,1093.44
2017-03-28,228.35,231.7,226.8,227.15,227.45,523653.0,1200.37
2017-03-27,228.0,230.45,225.1,225.8,226.2,335818.0,764.67
2017-03-24,230.65,234.0,226.7,227.8,227.4,459778.0,1059.88
2017-03-23,229.85,233.0,228.7,229.1,230.2,288867.0,666.3
2017-03-22,225.35,232.3,225.35,228.6,228.3,639791.0,1465.73
2017-03-21,235.6,236.25,225.95,229.0,228.95,406840.0,933.52
2017-03-20,236.0,238.15,232.2,235.5,235.0,478438.0,1126.04
2017-03-17,241.8,242.2,232.3,233.7,234.05,539180.0,1272.63
2017-03-16,230.6,243.95,230.5,239.9,241.0,1657727.0,3954.33
2017-03-15,230.3,233.5,228.2,228.7,228.95,312770.0,721.23
2017-03-14,227.95,235.5,227.95,231.0,230.25,775076.0,1798.39
2017-03-10,228.0,232.45,223.4,223.4,224.7,392848.0,895.56
2017-03-09,228.0,234.4,227.1,227.75,228.0,564145.0,1299.03
2017-03-08,235.9,236.9,226.3,227.0,228.0,598577.0,1384.02
2017-03-07,224.5,236.8,220.35,235.9,234.4,1307316.0,3005.61
2017-03-06,226.45,230.9,223.2,223.5,224.45,396570.0,900.69
2017-03-03,225.95,228.5,222.1,225.55,226.0,394394.0,890.75
2017-03-02,234.45,237.5,223.7,225.65,225.2,536819.0,1237.82
2017-03-01,235.75,241.0,233.2,233.75,233.85,534845.0,1265.47
2017-02-28,233.95,241.45,232.05,234.5,234.4,569770.0,1347.54
2017-02-27,231.7,238.8,230.35,233.2,233.3,421994.0,988.03
2017-02-23,233.0,235.6,230.1,231.7,231.15,415087.0,966.22
2017-02-22,240.6,241.9,229.9,233.0,233.3,539541.0,1275.79
2017-02-21,241.7,244.7,238.55,240.7,240.8,662852.0,1602.83
2017-02-20,235.0,245.0,234.3,241.6,242.3,1427805.0,3433.02
2017-02-17,233.2,236.5,228.2,232.1,232.85,713988.0,1660.84
2017-02-16,226.0,235.95,226.0,233.5,233.5,871211.0,2016.25
2017-02-15,241.1,243.7,222.8,225.7,226.05,1186267.0,2752.86
